CustomerID,JoinDate,Region,Age,TotalSpend,NumPurchases,Email,Satisfaction,DiscountUsed,Churn
1000,2020-01-01 00:00:00.000000000,West,60,2300.753090106775,22,user0@naver.com,2,0,1
1001,2020-01-01 17:31:43.551775887,South,49,,38,user1@gmail.com,5,0,0
1002,2020-01-02 11:03:27.103551775,East,49,1887.6633926540765,17,user2@daum.net,2,0,0
1003,2020-01-03 04:35:10.655327663,West,38,275.42248328639903,4,user3@daum.net,3,1,1
1004,2020-01-03 22:06:54.207103551,South,63,1441.170540767508,39,user4@gmail.com,5,0,0
1005,2020-01-04 15:38:37.758879439,North,49,573.7634886575627,14,user5@yahoo.com,5,0,0
1006,2020-01-05 09:10:21.310655327,West,27,1548.0232048331372,40,user6@daum.net,4,0,0
1007,2020-01-06 02:42:04.862431215,North,60,4032.6397229960194,33,user7@naver.com,1,0,0
1008,2020-01-06 20:13:48.414207103,North,31,400.5051412567199,32,user8@daum.net,4,0,1
1009,2020-01-07 13:45:31.965982991,East,42,722.8097453836228,33,user9@daum.net,5,0,0
1010,2020-01-08 07:17:15.517758879,South,39,1663.4130776086606,29,user10@naver.com,1,0,0
1011,2020-01-09 00:48:59.069534767,North,56,,36,user11@naver.com,1,0,0
1012,2020-01-09 18:20:42.621310655,East,24,1759.534264265932,44,user12@daum.net,3,0,0
1013,2020-01-10 11:52:26.173086543,South,62,620.998032160972,41,user13@yahoo.com,1,1,1
1014,2020-01-11 05:24:09.724862431,West,33,386.50337578388155,40,user14@naver.com,3,0,1
1015,2020-01-11 22:55:53.276638319,South,56,2052.7862774415153,41,user15@yahoo.com,1,0,0
1016,2020-01-12 16:27:36.828414207,West,60,4226.99232311692,42,user16@yahoo.com,1,0,0
1017,2020-01-13 09:59:20.380190095,South,42,1156.3993739807963,16,user17@yahoo.com,3,1,0
1018,2020-01-14 03:31:03.931965983,West,18,417.732221747696,9,user18@naver.com,3,1,0
1019,2020-01-14 21:02:47.483741871,South,19,1946.8600629727302,26,user19@gmail.com,2,0,1
1020,2020-01-15 14:34:31.035517759,North,46,1771.5726456595462,14,user20@naver.com,4,0,0
1021,2020-01-16 08:06:14.587293646,East,25,1329.5998396658908,15,user21@naver.com,2,0,0
1022,2020-01-17 01:37:58.139069534,West,18,1428.8653412509993,27,user22@gmail.com,4,1,0
1023,2020-01-17 19:09:41.690845422,East,50,159.47567980864255,37,user23@yahoo.com,2,1,1
1024,2020-01-18 12:41:25.242621310,North,41,1088.1334381368474,33,user24@yahoo.com,1,0,1
1025,2020-01-19 06:13:08.794397198,South,66,506.8678580865107,16,user25@yahoo.com,4,1,0
1026,2020-01-19 23:44:52.346173086,East,50,1372.2697580810611,20,user26@daum.net,4,1,0
1027,2020-01-20 17:16:35.897948974,North,36,171.36592627217692,23,user27@daum.net,3,0,1
1028,2020-01-21 10:48:19.449724862,West,36,352.1392715774246,13,user28@daum.net,1,0,0
1029,2020-01-22 04:20:03.001500750,West,61,1463.4711497825647,43,user29@yahoo.com,2,1,0
1030,2020-01-22 21:51:46.553276638,South,48,242.36552323050748,42,user30@daum.net,4,0,0
1031,2020-01-23 15:23:30.105052526,North,20,135.01605556820317,20,user31@yahoo.com,5,0,1
1032,2020-01-24 08:55:13.656828414,East,46,925.1978340197,10,user32@yahoo.com,5,1,0
1033,2020-01-25 02:26:57.208604302,West,30,1153.0484609555976,38,user33@daum.net,5,1,1
1034,2020-01-25 19:58:40.760380190,North,49,112.1629399090433,47,user34@yahoo.com,2,1,0
1035,2020-01-26 13:30:24.312156078,South,42,174.70427180571374,18,user35@yahoo.com,3,0,0
1036,2020-01-27 07:02:07.863931966,South,59,1438.3714323288666,3,user36@yahoo.com,3,0,0
1037,2020-01-28 00:33:51.415707854,North,40,804.1697757081063,43,user37@yahoo.com,5,0,0
1038,2020-01-28 18:05:34.967483742,South,41,349.2763048983849,5,user38@yahoo.com,3,1,0
